Liquidaci&oacute;n|Liquidación
Estas son las facturas generadas. Haciendo click en &quot;Ver Detalle&quot; podr&aacute;s ver los viajes asignados y desvincularlos de ser necesario. Para finalizar el proceso de facturaci&oacute;n de cada factura, hacer click en &quot;Cerrar&quot;.|Estas son las facturas generadas. Haciendo click en "Ver Detalle" podrás ver los viajes asignados y desvincularlos de ser necesario. Para finalizar el proceso de facturación de cada factura, hacer click en "Cerrar".
Factura|Factura
Viajes|Viajes
Distancia|Distancia
Vuelta|Vuelta
Espera|Espera
Peajes|Peajes
Estacionamiento|Estacionamiento
Total|Total
M&aacute;s opciones|Más opciones
 Km.| Km.
 $| $
 $| $
 Mins.| Mins.
Cerrar|Cerrar
APROBADA|APROBADA
Ver detalle|Ver detalle
Ver detalle x empresa|Ver detalle x empresa
